מספר חשבונית,קישור לספק,תאריך חשבונית,שם ספק,סכום כולל מע''מ,סכום לפני מע''מ,סכום מע''מ,קטגוריה,פירוט שורות,החזר חלקי,שם השולח,סטטוס טיפול,סוג חשבונית,קישור לחשבונית,קישור לקובץ בדרייב,קישור לתיקית החודש,קישור למייל המקורי,כתובת מייל שולח,תאריך ושעת קבלת המייל,מזהה מייל,כפילות,שגיאה,תאריך העלאה למערכת,איכות פענוח,הועבר לרוח,ai_missing_fields,execution_log_url,ai_confidence,error_reason,html_content,קישור להרצה
1/37754,Smart Scent,2026-01-27,Smart Scent,236.00,200.00,36.0,שונות,השכרת מערכת ריח דגם sm-400 x1,,Smart Scent,,,,https://drive.google.com/drive/folders/1t4AQV9U-9f8scforcoNRZlTfQPBOS4gh,https://drive.google.com/drive/folders/1ugx6yLq6t7PRFZqtz8JaZrOZiWF734Ca,https://mail.google.com/mail/u/0/#inbox/19bfccad0a1eeb53,smart@smartscent.co.il,2026-01-27T00:11:37.000Z,19bfccad0a1eeb53,,,21/04/2026,high,checked,,,,,,
412349845,הייפ פתרונות תשלום בע״מ,2026-02-02,הייפ פתרונות תשלום בע״מ,460.50,390.25,70.3,הוצאות ניהול,שירות תקשורת מסוף 6436167/1 דגם mini 2T מ-01/02/26 עד 28/02/26 x1,,,,,,https://drive.google.com/drive/folders/1Ksms41M8lFrt0vb3sgSqSuqbpxoBuxTi,https://drive.google.com/drive/folders/1qlZnYX9sMo1XLl2zYEBdWcOmiNIWTrZs,https://mail.google.com/mail/u/0/#inbox/19c1e77d328ed7d3,Caspit-invoice@caspitgroup.co.il,2026-02-02T12:53:20.000Z,19c1e77d328ed7d3,,,21/04/2026,high,checked,,,,,,
IR2254161,ת.סייפטק טכנולוגיות בע״מ,2026-02-05,ת.סייפטק טכנולוגיות בע״מ,35.20,29.83,5.4,הוצאות ניהול,רשיון חודשי סייפטק x1,,סייפטק - סינון תכנים באינטרנט,,,,https://drive.google.com/drive/folders/1whwsNiUF0_Dakl5GLR5ym6OclXu5g7Rf,https://drive.google.com/drive/folders/1qlZnYX9sMo1XLl2zYEBdWcOmiNIWTrZs,https://mail.google.com/mail/u/0/#inbox/19c2b6f399cd52e3,help@safe-tec.co.il,2026-02-05T01:33:53.000Z,19c2b6f399cd52e3,,,21/04/2026,high,checked,,,,,,
9825,JOSEF Look Women's Design,2026-02-08,JOSEF Look Women's Design,-1765.00,-1495.00,-270.0,ספקים ביגוד,שבלונות ביס בגדול x3,,הדסה אבלס,,,,https://drive.google.com/drive/folders/1o69w9hRpXNgcTqOQ_0Z9SMue3sh6jK8J,https://drive.google.com/drive/folders/1a-JYXOCvwNtzWzwpP3IbN-y1jwrnCJww,https://mail.google.com/mail/u/0/#inbox/19df19aeadb341c0,h8420785@gmail.com,2026-05-04T06:09:14.000Z,19df19aeadb341c0,,,07/05/2026,medium,checked,,,,,,
01/001506,שייני 26 בע״מ,2026-02-10,שייני 26 בע״מ,1534.00,1300.00,234.0,ספקים כיסויי ראש,מטפחת כותנה x130,,,,,,https://drive.google.com/drive/folders/1dqxX1NLt9FIoaXFAyFpNSf3jzm5K8qhf,https://drive.google.com/drive/folders/1qlZnYX9sMo1XLl2zYEBdWcOmiNIWTrZs,https://mail.google.com/mail/u/0/#inbox/19c478daa68555b9,shine6243449@gmail.com,2026-02-10T12:36:31.000Z,19c478daa68555b9,,,21/04/2026,high,checked,,,,,,
40114,כובעי זיוה,2026-02-11,כובעי זיוה,418.90,355.00,63.9,ספקים כיסויי ראש,בנדנה רשת + x5,,כובעי זיוה,,,,https://drive.google.com/drive/folders/1dsFaKe0OBpteLCIeAWxn1VICtzTHtmRy,https://drive.google.com/drive/folders/1qlZnYX9sMo1XLl2zYEBdWcOmiNIWTrZs,https://mail.google.com/mail/u/0/#inbox/19c81a70fa0ba1ef,noreply@ezcount.co.il,2026-02-21T19:22:14.000Z,19c81a70fa0ba1ef,,,21/04/2026,high,checked,,,,,,
1607,כובעי זיוה,2026-02-11,כובעי זיוה,7990.96,6772.00,1219.0,ספקים כיסויי ראש,בנדנה ספוג מלנג קודם x5,,כובעי זיוה,,,,https://drive.google.com/drive/folders/1DAiXaRbZYAB_n5WxyB7PRYBpajKAG9Fa,https://drive.google.com/drive/folders/1qlZnYX9sMo1XLl2zYEBdWcOmiNIWTrZs,https://mail.google.com/mail/u/0/#inbox/19c81a5c7772d1e6,noreply@ezcount.co.il,2026-02-21T19:20:50.000Z,19c81a5c7772d1e6,,,21/04/2026,high,checked,,,,,,
98101,וליוקארד בע״מ,2026-02-13,וליוקארד בע״מ,444.00,376.24,67.7,הוצאות ניהול,שימוש שוטף במערכת וליוקארד 02/26 x1,,"וליוקארד בע""מ",,,,https://drive.google.com/drive/folders/15_xwFczw4sRQxYWUFTTvAxWa-UFpIfEN,https://drive.google.com/drive/folders/1qlZnYX9sMo1XLl2zYEBdWcOmiNIWTrZs,https://mail.google.com/mail/u/0/#inbox/19c56e2e0fc218f6,invoice@hclickapp.co.il,2026-02-13T12:03:54.000Z,19c56e2e0fc218f6,,,21/04/2026,high,checked,,,,,,
01/002544,ST FASHION,2026-02-15,ST FASHION,10712.00,9077.97,1634.0,ספקים ביגוד,שמלה קשירה פפיונים x5,,,,,,https://drive.google.com/drive/folders/1M1IgCseiaAoI-3x0oxyZqnuaUu2bjcd2,https://drive.google.com/drive/folders/1qlZnYX9sMo1XLl2zYEBdWcOmiNIWTrZs,https://mail.google.com/mail/u/0/#inbox/19c6185a4617c611,0584483765st@gmail.com,2026-02-15T13:37:53.000Z,19c6185a4617c611,,,21/04/2026,high,checked,,,,,,
SI266000048,בגדי נוחות בע״מ,2026-02-16,בגדי נוחות בע״מ,15239.70,12915.00,2324.7,ספקים ביגוד,חולצה ארמני טופ שחור לבן M x2,,בתיה חי,,,,https://drive.google.com/drive/folders/1QYPS24vpk-0MqUY4nWvqH70ABQG73BKa,https://drive.google.com/drive/folders/1qlZnYX9sMo1XLl2zYEBdWcOmiNIWTrZs,https://mail.google.com/mail/u/0/#inbox/19ce21050ac18df2,batya@ninarocca.co.il,2026-03-12T12:40:42.000Z,19ce21050ac18df2,,,21/04/2026,high,checked,,,,,,
50274,מרציאנו ייבוא ושיווק כיסויי ראש,2026-02-16,מרציאנו ייבוא ושיווק כיסויי ראש,3857.00,3268.66,588.3,ספקים כיסויי ראש,מטפחת ערב x30,,מרציאנו ייבוא ושיווק כיסויי ראש,,,,https://drive.google.com/drive/folders/1wVxYwI6Nx8M_gJLG7ZXrHMmbNOOcU3-h,https://drive.google.com/drive/folders/1qlZnYX9sMo1XLl2zYEBdWcOmiNIWTrZs,https://mail.google.com/mail/u/0/#inbox/19c6594c23326ff7,notify@morning.co,2026-02-16T08:32:53.000Z,19c6594c23326ff7,,,21/04/2026,high,checked,,,,,,
265001780OV,ילו ניהול בע״מ,2026-02-17,ילו ניהול בע״מ,450.00,381.36,68.6,הוצאות ניהול,רב מכר - פנים - חצי עמוד שמאל 1/2 x1,,מירי בן צור,,,,https://drive.google.com/drive/folders/1Z4dac-h0a1hdFyGXxInQBNWYhg8upv7Z,https://drive.google.com/drive/folders/1qlZnYX9sMo1XLl2zYEBdWcOmiNIWTrZs,https://mail.google.com/mail/u/0/#inbox/19c70202ffc24813,ravtashlum@gmail.com,2026-02-18T09:41:21.000Z,19c70202ffc24813,,,21/04/2026,high,checked,,,,,,
1346,סניורה/ג׳וני עיצובים,2026-02-17,סניורה/ג׳וני עיצובים,1097.00,930.00,167.3,ספקים כיסויי ראש,מרובעות לורקס x20,,נתנאל נצרתי ,,,,https://drive.google.com/drive/folders/1oAdE-G-jlKX1TaXzZELCFcPbXAmuhcMg,https://drive.google.com/drive/folders/1qlZnYX9sMo1XLl2zYEBdWcOmiNIWTrZs,https://mail.google.com/mail/u/0/#inbox/19c6a47f8b42fc8c,outgoing@icount.co.il,2026-02-17T06:27:07.000Z,19c6a47f8b42fc8c,,,21/04/2026,high,checked,,,,,,
5316,חיה אורדמן בע״מ,2026-02-19,חיה אורדמן בע״מ,15754.77,13351.50,2403.3,ספקים ביגוד,חלוק הנקה טבעת קומות שיפון דגם Y26800DNO x5,,"חיה אורדמן בע""מ 515872802",,,,https://drive.google.com/drive/folders/1J4oZ_4Pej9B8UdHqHMAKnRlsESKxii-L,https://drive.google.com/drive/folders/1qlZnYX9sMo1XLl2zYEBdWcOmiNIWTrZs,https://mail.google.com/mail/u/0/#inbox/19db8e9b031ee51f,app@invoice-maven.co.il,2026-04-23T05:56:54.000Z,19db8e9b031ee51f,,,23/04/2026,high,checked,,,,,,
82513,סמרה,2026-02-19,סמרה,2682.00,2272.88,409.1,ספקים בגדי ים,בגד ים נשים חצאית צמע x17,,הדסה אבלס,,,,https://drive.google.com/drive/folders/10ZLz-2eWJKLvOVzw2MXRCbI71fXq0-pN,https://drive.google.com/drive/folders/1qlZnYX9sMo1XLl2zYEBdWcOmiNIWTrZs,https://mail.google.com/mail/u/0/#inbox/19dc66becd976cd5,h8420785@gmail.com,2026-04-25T20:54:14.000Z,19dc66becd976cd5,,,26/04/2026,high,checked,,,,,,
36840,פיין קונטנט בע״מ,2026-02-21,פיין קונטנט בע״מ,2000.00,1694.92,305.1,שונות,פסיכוקופירייטינג - מחזור ב' נשים ללא חברותא (תשלום 2 מתוך 6) x1,,"פיין קונטנט בע""מ",,,,https://drive.google.com/drive/folders/1ZFoVCbXvcQ-kWLMDBSi9ZZKirjxn4_Et,https://drive.google.com/drive/folders/1qlZnYX9sMo1XLl2zYEBdWcOmiNIWTrZs,https://mail.google.com/mail/u/0/#inbox/19c7e9d1b3249394,outgoing@out.cardcom.co.il,2026-02-21T05:12:30.000Z,19c7e9d1b3249394,,,21/04/2026,high,checked,,,,,,
01/001536,שייני 26 בע״מ,2026-02-23,שייני 26 בע״מ,5664.00,4800.00,864.0,ספקים כיסויי ראש,מטפחת כותנה x400,,,,,,https://drive.google.com/drive/folders/1Cbf3VcZ7PBCLhBmGc1QL1y4zNj0fcPMp,https://drive.google.com/drive/folders/1qlZnYX9sMo1XLl2zYEBdWcOmiNIWTrZs,https://mail.google.com/mail/u/0/#inbox/19c8b413176d0a8b,shine6243449@gmail.com,2026-02-23T16:07:10.000Z,19c8b413176d0a8b,,,21/04/2026,high,checked,,,,,,
4076,RACHELI'S,2026-02-24,RACHELI'S,3776.00,3200.00,576.0,ספקים ביגוד,חליפה נצנץ 4027 x16,,רחלי קנטור ,,,,https://drive.google.com/drive/folders/1IRl_NStSOxay-JbkwH2ei2wWR7riI6sG,https://drive.google.com/drive/folders/1qlZnYX9sMo1XLl2zYEBdWcOmiNIWTrZs,https://mail.google.com/mail/u/0/#inbox/19c8feec48015759,outgoing@icount.co.il,2026-02-24T13:55:15.000Z,19c8feec48015759,,,21/04/2026,high,checked,,,,,,
356/2026,הדפוס המהיר,2026-02-24,הדפוס המהיר,330.40,280.00,50.4,הוצאות משרד,הדפסות x500,,נשלח באמצעות בינה מערכות תוכנה ופתרונות,,,,https://drive.google.com/drive/folders/1LT0qtB4UtJ7rV9yi1XxfFRzb7gJdBYnU,https://drive.google.com/drive/folders/1qlZnYX9sMo1XLl2zYEBdWcOmiNIWTrZs,https://mail.google.com/mail/u/0/#inbox/19c8fab1855bcf33,do-not-replay@binaw.com,2026-02-24T12:41:17.000Z,19c8fab1855bcf33,,,21/04/2026,high,checked,,,,,,
01/000089,LUMIERE,2026-02-24,LUMIERE,12161.00,10305.93,1855.1,ספקים ביגוד,B20 x13,,,,,,https://drive.google.com/drive/folders/1lCwy1BVq4O9MuhujkmzT6nNTipCKCEZs,https://drive.google.com/drive/folders/1qlZnYX9sMo1XLl2zYEBdWcOmiNIWTrZs,https://mail.google.com/mail/u/0/#inbox/19c8f1055eea3f6a,lumiere8018@gmail.com,2026-02-24T09:52:16.000Z,19c8f1055eea3f6a,,,21/04/2026,high,checked,,,,,,
03/000040,LUMIERE,2026-02-24,LUMIERE,14350.00,12161.02,2189.0,ספקים ביגוד,B20 x13,,,,,,https://drive.google.com/drive/folders/1MrtLHxzMyUlE6hoxPzszWJtZS7_WRZE-,https://drive.google.com/drive/folders/1qlZnYX9sMo1XLl2zYEBdWcOmiNIWTrZs,https://mail.google.com/mail/u/0/#inbox/19c8f0d447ec0e4f,lumiere8018@gmail.com,2026-02-24T09:48:55.000Z,19c8f0d447ec0e4f,,,21/04/2026,high,checked,,,,,,
01/000088,LUMIERE,2026-02-24,LUMIERE,14350.00,12161.02,2189.0,ספקים ביגוד,B20 x13,,,,,,https://drive.google.com/drive/folders/18Du6-VhEJriBdq32UO_L6pOkamQCq1HL,https://drive.google.com/drive/folders/1qlZnYX9sMo1XLl2zYEBdWcOmiNIWTrZs,https://mail.google.com/mail/u/0/#inbox/19c8f0433893aa8e,lumiere8018@gmail.com,2026-02-24T09:39:01.000Z,19c8f0433893aa8e,,,21/04/2026,high,checked,,,,,,
372995,איי פקט בע״מ,2026-02-24,איי פקט בע״מ,193.52,164.00,29.5,הוצאות ניהול,הדסה אבלס - מנוי חודשי ביזיבוקס לעסקים עבור עד 5 חשבונות x1,,"איי פקט בע""מ",,,,https://drive.google.com/drive/folders/1qIf8yMJ2A4BeGy5yzrybr2dpV1vMWSBv,https://drive.google.com/drive/folders/1qlZnYX9sMo1XLl2zYEBdWcOmiNIWTrZs,https://mail.google.com/mail/u/0/#inbox/19c8e1eea53ca9de,outgoing@out.cardcom.co.il,2026-02-24T05:28:35.000Z,19c8e1eea53ca9de,,,21/04/2026,high,checked,,,,,,
2326,c.u.wear ציפי וינברג,2026-02-25,c.u.wear ציפי וינברג,18420.98,15611.00,2810.0,ספקים ביגוד,חולצה פרחים ואבנים x10,,ציפי וינברג ,,,,https://drive.google.com/drive/folders/17v2IO2M2q0bJWs3bRQvqlgkN8HF8fULV,https://drive.google.com/drive/folders/1qlZnYX9sMo1XLl2zYEBdWcOmiNIWTrZs,https://mail.google.com/mail/u/0/#inbox/19da99b5b8c12ca0,outgoing@icount.co.il,2026-04-20T06:37:03.000Z,19da99b5b8c12ca0,,,21/04/2026,high,checked,,,,,,
2326,ציפי וינברג c.u.wear,2026-02-25,ציפי וינברג c.u.wear,18420.98,15611.00,2810.0,ספקים ביגוד,חולצה פרחים ואבנים x10,,ציפי וינברג ,,,,https://drive.google.com/drive/folders/1fFZGy9tlLEHBBs4-gJ-bYmT1iimLgCYb,https://drive.google.com/drive/folders/1qlZnYX9sMo1XLl2zYEBdWcOmiNIWTrZs,https://mail.google.com/mail/u/0/#inbox/19cd6d1ca830e57d,outgoing@icount.co.il,2026-03-10T08:16:38.000Z,19cd6d1ca830e57d,,,21/04/2026,high,checked,,,,,,
1351,סניורה/ג׳וני עיצובים,2026-02-25,סניורה/ג׳וני עיצובים,4508.00,3820.00,687.7,ספקים כיסויי ראש,מרובעות כותנה עבה הזמנה x210,,נתנאל נצרתי ,,,,https://drive.google.com/drive/folders/1YNagZFawcUfyxvytTriu8FV2vrNSu07P,https://drive.google.com/drive/folders/1qlZnYX9sMo1XLl2zYEBdWcOmiNIWTrZs,https://mail.google.com/mail/u/0/#inbox/19c943a1fd08cb24,outgoing@icount.co.il,2026-02-25T09:56:02.000Z,19c943a1fd08cb24,,,21/04/2026,high,checked,,,,,,
18131463,הדסה אבלס,2026-02-25,הדסה אבלס,7000.00,5932.20,1067.8,שונות,שוברי מתנה,,הדסה אבלס,,,,https://drive.google.com/drive/folders/1JKco5d7ZTVFhFBkx282ewUxP-DoDwIsA,https://drive.google.com/drive/folders/1qlZnYX9sMo1XLl2zYEBdWcOmiNIWTrZs,https://mail.google.com/mail/u/0/#inbox/19c9429b0d9a0fd6,c+1350473165@sumit.co.il,2026-02-25T09:38:05.000Z,19c9429b0d9a0fd6,,,21/04/2026,high,checked,,,,,,
18131463,הדסה אבלס,2026-02-25,הדסה אבלס,7000.00,5932.20,1067.8,שונות,שוברי מתנה,,הדסה אבלס,,,,https://drive.google.com/drive/folders/1XteLmTcJ33bz7GKZnB2Iav8dswzznBjL,https://drive.google.com/drive/folders/1qlZnYX9sMo1XLl2zYEBdWcOmiNIWTrZs,https://mail.google.com/mail/u/0/#inbox/19c942839da38934,c+1350473165@sumit.co.il,2026-02-25T09:36:29.000Z,19c942839da38934,,,21/04/2026,high,checked,,,,,,
412368276,הייפ פתרונות תשלום בע״מ,2026-03-02,הייפ פתרונות תשלום בע״מ,460.50,390.25,70.3,הוצאות ניהול,שירות תקשורת מסוף 6436167/1 דגם mini 2T מ-01/03/26 עד 31/03/26,,,,,,https://drive.google.com/drive/folders/1Ln2UVsvq0jYNzzVImlXHh8Xb_rb4YRzm,https://drive.google.com/drive/folders/1jf-j6oY04lDZCEEkuJasAjvA2Dk2jruJ,https://mail.google.com/mail/u/0/#inbox/19cb989a889e0efc,Caspit-invoice@caspitgroup.co.il,2026-03-04T15:48:47.000Z,19cb989a889e0efc,,,21/04/2026,high,checked,,,,,,
4082,RACHELI'S,2026-03-05,RACHELI'S,1185.66,1004.80,180.9,ספקים ביגוד,קפוצון רקמה כתום כיסים חיצוני 4016 x8,,רחלי קנטור ,,,,https://drive.google.com/drive/folders/1nEcABp9AAcvJ1ROvEgYiQWukq0-dFytS,https://drive.google.com/drive/folders/1jf-j6oY04lDZCEEkuJasAjvA2Dk2jruJ,https://mail.google.com/mail/u/0/#inbox/19cbf8ea80e42140,outgoing@icount.co.il,2026-03-05T19:52:02.000Z,19cbf8ea80e42140,,,21/04/2026,high,checked,,,,,,
01/002574,ST FASHION,2026-03-08,ST FASHION,3033.00,2570.34,462.7,ספקים ביגוד,N4 x6,,,,,,https://drive.google.com/drive/folders/1XXbv9gjxROLUHv0FsLq1_t3OLpSuT7uf,https://drive.google.com/drive/folders/1jf-j6oY04lDZCEEkuJasAjvA2Dk2jruJ,https://mail.google.com/mail/u/0/#inbox/19ccf2cc650e67a9,0584483765st@gmail.com,2026-03-08T20:39:02.000Z,19ccf2cc650e67a9,,,21/04/2026,high,checked,,,,,,
6501463,בלו סטון אימפורטס בע״מ,2026-03-09,בלו סטון אימפורטס בע״מ,2584.00,2189.83,394.2,ספקים ביגוד,חולצה V-NECK TEE אפור S x1,,,,,,https://drive.google.com/drive/folders/1A9wmz2x4uR_0G1akM5Na7OjWiw3ZE2-a,https://drive.google.com/drive/folders/1jf-j6oY04lDZCEEkuJasAjvA2Dk2jruJ,https://mail.google.com/mail/u/0/#inbox/19cd2ca11184007f,ofiice@aimporters.com,2026-03-09T13:29:42.000Z,19cd2ca11184007f,,,21/04/2026,high,checked,,,,,,
267000021CR,בגדי נוחות בע״מ,2026-03-09,בגדי נוחות בע״מ,3803.00,3222.88,580.1,ספקים ביגוד,חצאית קומות דונה מקסי שחור M x1,,בתיה חי,,,,https://drive.google.com/drive/folders/1BNTgLKbxXeCyOcqgnH-jKurC3SkQ0l9w,https://drive.google.com/drive/folders/1jf-j6oY04lDZCEEkuJasAjvA2Dk2jruJ,https://mail.google.com/mail/u/0/#inbox/19cd19f7af984dd4,batya@ninarocca.co.il,2026-03-09T08:03:31.000Z,19cd19f7af984dd4,,,21/04/2026,high,checked,,,,,,
266000091SI,בגדי נוחות בע״מ,2026-03-09,בגדי נוחות בע״מ,631.89,535.50,96.4,ספקים ביגוד,חצאית קומות דונה מקסי שחור S x1,,בתיה חי,,,,https://drive.google.com/drive/folders/1r69Eju-OoLx6YJAsQN8yfE8Jyu6I72bD,https://drive.google.com/drive/folders/1jf-j6oY04lDZCEEkuJasAjvA2Dk2jruJ,https://mail.google.com/mail/u/0/#inbox/19cd18ba5a830ce6,batya@ninarocca.co.il,2026-03-09T07:41:50.000Z,19cd18ba5a830ce6,,,21/04/2026,high,checked,,,,,,
60202,מרציאנו ייבוא ושיווק כיסויי ראש,2026-03-10,מרציאנו ייבוא ושיווק כיסויי ראש,1800.00,1525.43,274.6,ספקים כיסויי ראש,מטפחת מעבר צבעים x180,,מרציאנו ייבוא ושיווק כיסויי ראש,,,,https://drive.google.com/drive/folders/19YD_R2QDt7rckznJipMTkptAS82HK1Gc,https://drive.google.com/drive/folders/1jf-j6oY04lDZCEEkuJasAjvA2Dk2jruJ,https://mail.google.com/mail/u/0/#inbox/19cd867cf2c843be,notify@morning.co,2026-03-10T15:40:06.000Z,19cd867cf2c843be,,,21/04/2026,high,checked,,,,,,
SI266000103,בגדי נוחות בע״מ,2026-03-10,בגדי נוחות בע״מ,3620.36,3068.10,552.3,ספקים ביגוד,חולצה לטינה טופ כחול לבן S x1,,בן ציון נוישטיין,,,,https://drive.google.com/drive/folders/1J9mjVvCVn8f1BuHU3YbRJyAm17hFZM_4,https://drive.google.com/drive/folders/1jf-j6oY04lDZCEEkuJasAjvA2Dk2jruJ,https://mail.google.com/mail/u/0/#inbox/19cd7bc8a0c80fa4,benzion@ninarocca.co.il,2026-03-10T12:32:54.000Z,19cd7bc8a0c80fa4,,,21/04/2026,high,checked,,,,,,
98994,וליוקארד בע״מ,2026-03-11,וליוקארד בע״מ,443.00,375.68,67.6,הוצאות ניהול,שימוש שוטף במערכת וליוקארד 03/26 x1,,"וליוקארד בע""מ",,,,https://drive.google.com/drive/folders/1gtLJVxZ3Amc6_DgZfVFOMj85DadoirZM,https://drive.google.com/drive/folders/1jf-j6oY04lDZCEEkuJasAjvA2Dk2jruJ,https://mail.google.com/mail/u/0/#inbox/19cdbd1cf12a0f0d,invoice@hclickapp.co.il,2026-03-11T07:34:44.000Z,19cdbd1cf12a0f0d,,,21/04/2026,high,checked,,,,,,
